-214,249,-8,-1,0,0,26,34,-40
-172,249,-7,0,0,0,26,34,-40
-114,249,-7,0,0,1,26,34,-40
-53,249,-7,0,0,1,26,34,-40
1,249,-8,0,0,1,26,34,-40
41,249,-8,0,0,1,39,39,-46
69,249,-7,0,0,1,39,39,-46
93,212,-7,0,0,1,39,39,-46
128,163,-7,0,0,1,39,39,-46
179,107,-8,0,0,1,39,39,-46
233,32,-7,0,0,1,39,39,-46
249,-60,-8,0,0,1,39,39,-46
249,-161,-8,0,0,1,39,39,-46
249,-250,-8,0,0,1,39,39,-46
249,-250,-7,0,0,1,39,39,-46
249,-250,-8,0,0,1,39,39,-46
249,-250,-7,0,0,1,39,39,-46
249,-250,-8,0,0,1,34,35,-48
249,-250,-7,0,0,0,34,35,-48
249,-250,-7,0,0,0,34,35,-48
249,-250,-8,0,0,0,34,35,-48
249,-250,-8,1,0,0,34,35,-48
249,-250,-8,1,0,0,34,35,-48
249,-250,-8,1,0,0,34,35,-48
249,-250,-8,1,0,-1,34,35,-48
249,-250,-8,1,0,-1,34,35,-48
249,-250,-8,0,0,-1,34,35,-48
249,-250,-8,0,0,-1,34,35,-48
249,-169,-8,0,0,-2,34,35,-48
249,-112,-8,0,0,-2,34,35,-48
249,-92,-8,0,0,-1,16,35,-50
249,-77,-8,0,0,-1,16,35,-50
249,-34,-8,-1,0,-1,16,35,-50
238,42,-8,-1,0,-2,16,35,-50
121,145,-8,-1,0,-2,16,35,-50
-6,249,-7,-1,0,-2,16,35,-50
-111,249,-8,-1,0,-2,16,35,-50
-179,249,-8,-1,0,-2,16,35,-50
-217,249,-8,-1,0,-1,16,35,-50
-215,249,-8,-1,0,-1,16,35,-50
-172,249,-8,-1,0,-1,16,35,-50
-129,249,-8,-1,0,0,16,35,-50
-99,249,-8,0,0,0,31,35,-41
-82,249,-8,0,0,0,31,35,-41
-82,249,-8,0,0,0,31,35,-41
-107,249,-7,0,0,0,31,35,-41
-145,249,-8,-1,0,0,31,35,-41
-162,249,-8,-1,0,0,31,35,-41
-130,249,-8,-1,0,0,31,35,-41
-55,249,-7,-1,0,1,31,35,-41
13,249,-7,-1,0,1,31,35,-41
0,233,-7,-1,0,0,31,35,-41
-169,146,-7,0,0,0,31,35,-41
