,t,Ax,Ay,Az,Gx,Gy,Gz,phi_acc,phi_gyro,phi_cf,theta_acc,theta_gyro,theta_cf
0,0.0,0.09814453125,0.0263671875,0.816162109375,-0.679389312977,1.07633587786,-1.15267175573,1.8371456890239415,0.0,0.7348582756095766,6.853423920351081,0.0,2.7413695681404326
1,0.00019717216491700002,0.1015625,0.03076171875,0.815185546875,-3.0076335877900005,1.8549618320599996,0.11450381679400001,2.1445154194082274,0.7341546572222151,1.29829896209662,7.096784230367546,2.7416273914409395,4.483690127011583
2,0.0193543434143,0.106201171875,0.02880859375,0.8388671875,-6.3969465648899995,2.61832061069,0.572519083969,1.951330110167625,1.3979689534785325,1.6193134161541693,7.211094474490925,4.486545423463298,5.576365043874349
3,0.0377922058105,0.10400390625,0.04296875,0.84375,-12.0229007634,3.87786259542,1.35114503817,2.8934610175753264,1.337556326394054,1.9599182028665632,7.018050288291006,5.547812499993394,6.135907615312439
4,0.0562181472778,0.07958984375,0.013671875,0.841796875,-6.93129770992,3.2671755725200002,-0.0992366412214,0.9263456189484434,1.8239804038758884,1.4649264899049106,5.4004125797424125,6.114450417465987,5.8288352823765575
5,0.0746941566467,0.093994140625,0.04296875,0.849609375,-3.03816793893,0.45801526717600005,-0.18320610687,2.8777231979121787,1.4048536187863312,1.99400145043667,6.305091043092262,5.8329507994722345,6.021806896920245
6,0.09315013885500001,0.105224609375,0.032470703125,0.843017578125,-0.595419847328,0.9618320610690001,-1.82442748092,2.1888163818468627,1.9750985443297002,2.0605856793365653,7.109587169598808,6.0448977341067,6.470773508303543
7,0.111604213715,0.102294921875,0.02197265625,0.8564453125,-5.03816793893,0.7557251908399999,1.3740458015299999,1.4592700104062561,1.9679125400697188,1.7644555282043337,6.808993833551323,6.441500576267428,6.588497879180986
8,0.130095243454,0.099609375,0.0009765625,0.848388671875,-4.78625954198,0.137404580153,0.847328244275,0.0655020162281935,1.6760761959073978,1.031846524035716,6.696439065491259,6.572381198986877,6.62200434558863
9,0.148553371429,0.095947265625,0.01318359375,0.8125,0.93893129771,-0.641221374046,0.0763358778626,0.9231840456887987,1.046182135722954,0.9969828997092919,6.7339296848007875,6.614751591048547,6.662422828549444
10,0.167036533356,0.079833984375,0.0087890625,0.820068359375,2.9389312977099995,-0.709923664122,0.11450381679400001,0.6111536672127066,1.0477182383749704,0.8730924099100649,5.559929021403202,6.65356791273651,6.216112356203187
11,0.18549656868,0.10400390625,0.0107421875,0.84326171875,-0.732824427481,-0.541984732824,0.0839694656489,0.7243551531241978,0.8601702032281702,0.8058441831865812,7.03051751233722,6.208592386637949,6.5373624369176575
12,0.20394039154100002,0.09521484375,0.0126953125,0.813720703125,-4.14503816794,1.6335877862600001,-1.9236641221400002,0.8877750827054274,0.7289443706180986,0.7924766554530301,6.673123053267872,6.583945273485361,6.619616385398366
13,0.222392320633,0.09423828125,0.020263671875,0.842041015625,-1.97709923664,0.6183206106870001,-0.259541984733,1.3700039180199386,0.7579825289716577,1.00279108459097,6.383937198546119,6.631164562417248,6.532273616868796
14,0.240843296051,0.091064453125,0.0166015625,0.8486328125,0.8320610687019999,-0.480916030534,-0.595419847328,1.1143224619716765,1.015026277986106,1.054744751580334,6.123652761510335,6.53680414715276,6.37154359289579
15,0.259315490723,0.082275390625,0.01171875,0.836181640625,-2.41221374046,-0.282442748092,-1.04580152672,0.7990665585914875,1.0091606431759577,0.9251230093421695,5.618933629686802,6.385793251531044,6.079049402793347
16,0.277771472931,0.096923828125,0.019775390625,0.837646484375,-6.38167938931,1.06106870229,-0.48854961832099997,1.3434431616899813,0.8053286310565799,1.0205744433099406,6.598503184074788,6.09810951244045,6.298266981094185
17,0.296229600906,0.09912109375,0.028564453125,0.84716796875,-1.5877862595399999,-0.427480916031,-0.389312977099,1.9180690161304483,0.9912995466579189,1.3620073344469308,6.669673301343785,6.300302312173128,6.448050707841391
18,0.31467962265,0.09912109375,0.025390625,0.841552734375,0.39694656488499996,-1.0381679389299998,0.167938931298,1.7162991599315536,1.366571197000303,1.5064623821728031,6.714524481411151,6.440945315202032,6.550376981685679
19,0.333131551743,0.101806640625,0.025634765625,0.843017578125,2.53435114504,-1.32824427481,0.0687022900763,1.7291769946732674,1.5468418843970866,1.619775928507559,6.882802411413375,6.547375850208608,6.681546474690515
20,0.351581573486,0.103759765625,0.000244140625,0.816650390625,-1.9465648855000002,0.236641221374,0.312977099237,0.016992178899514026,1.585913888283219,0.958345204529737,7.240935233236165,6.67536285903969,6.90159180871828
21,0.37005758285499996,0.10791015625,0.021728515625,0.835205078125,-0.358778625954,-0.534351145038,0.7709923664120001,1.4779790292657704,0.9522706881346281,1.162554024587085,7.3594818946653335,6.884321769359381,7.074385819481762
22,0.388513565063,0.10302734375,0.021728515625,0.831787109375,-1.5496183206099998,1.07633587786,0.45801526717600005,1.4850363157415978,1.1563959163273816,1.287852076093068,7.058460161200488,7.074490795727525,7.06807854191671
23,0.40696263313299996,0.094482421875,0.028076171875,0.84130859375,-0.27480916030499997,-0.0381679389313,0.19083969465599998,1.8994351869333441,1.2836784827309162,1.5299811644118875,6.404168200505188,7.064426991160295,6.800323474898253
24,0.425420761108,0.078125,0.0234375,0.8154296875,-1.83969465649,3.8091603053400003,0.8015267175570001,1.6388710294909068,1.5367226134751393,1.5775819798814463,5.470466186997352,6.788240665293013,6.261130873974748
