,Unnamed: 0,t,Ax,Ay,Az,Gx,Gy,Gz,phi_acc,phi_gyro,phi_cf,theta_acc,theta_gyro,theta_cf,phi_kf,theta_kf
0,0,0.0,0.09814453125,0.0263671875,0.816162109375,-0.679389312977,1.07633587786,-1.15267175573,1.8371456890239413,0.0,0.7348582756095766,6.853423920351081,0.0,2.7413695681404326,0.8914304593492943,3.902282613567387
1,1,0.000197172164917,0.1015625,0.03076171875,0.815185546875,-3.0076335877900005,1.85496183206,0.114503816794,2.1445154194082274,0.7341546572222151,1.29829896209662,7.096784230367546,2.7416273914409395,4.483690127011583,1.361886184517263,5.273983303123525
2,2,0.0193543434143,0.106201171875,0.02880859375,0.8388671875,-6.39694656489,2.61832061069,0.572519083969,1.951330110167625,1.3979689534785325,1.6193134161541691,7.211094474490925,4.486545423463298,5.576365043874349,1.3706063551555219,5.873352923534172
3,3,0.0377922058105,0.10400390625,0.04296875,0.84375,-12.0229007634,3.87786259542,1.35114503817,2.8934610175753264,1.337556326394054,1.9599182028665632,7.018050288291006,5.547812499993394,6.135907615312438,1.9187320445484088,5.990266003106447
4,4,0.0562181472778,0.07958984375,0.013671875,0.841796875,-6.93129770992,3.26717557252,-0.0992366412214,0.9263456189484434,1.8239804038758884,1.4649264899049106,5.4004125797424125,6.114450417465987,5.8288352823765575,0.9472546691376111,5.029986770026715
5,5,0.0746941566467,0.093994140625,0.04296875,0.849609375,-3.03816793893,0.4580152671760001,-0.18320610687,2.8777231979121787,1.4048536187863312,1.9940014504366699,6.305091043092263,5.8329507994722345,6.0218068969202445,1.8107199460945216,5.2030005743793
6,6,0.093150138855,0.105224609375,0.032470703125,0.843017578125,-0.595419847328,0.961832061069,-1.82442748092,2.1888163818468627,1.9750985443297,2.0605856793365653,7.109587169598807,6.0448977341067005,6.470773508303544,1.731615940803466,5.770466582230316
7,7,0.111604213715,0.102294921875,0.02197265625,0.8564453125,-5.03816793893,0.7557251908399999,1.37404580153,1.459270010406256,1.9679125400697188,1.7644555282043335,6.808993833551322,6.441500576267427,6.588497879180987,1.2186204233078748,5.79978248843139
8,8,0.130095243454,0.099609375,0.0009765625,0.848388671875,-4.78625954198,0.137404580153,0.847328244275,0.0655020162281935,1.6760761959073978,1.031846524035716,6.696439065491259,6.572381198986879,6.62200434558863,0.161589910173218,5.7369449543451765
9,9,0.148553371429,0.095947265625,0.01318359375,0.8125,0.93893129771,-0.641221374046,0.0763358778626,0.9231840456887987,1.0461821357229542,0.996982899709292,6.733929684800788,6.614751591048548,6.662422828549444,0.32918301876818723,5.73066971944123
10,10,0.167036533356,0.079833984375,0.0087890625,0.820068359375,2.9389312977099995,-0.709923664122,0.114503816794,0.6111536672127066,1.0477182383749704,0.8730924099100649,5.559929021403202,6.65356791273651,6.216112356203188,0.2140353464586409,5.00072671664341
11,11,0.18549656868,0.10400390625,0.0107421875,0.84326171875,-0.732824427481,-0.541984732824,0.0839694656489,0.7243551531241978,0.8601702032281702,0.8058441831865812,7.030517512337219,6.208592386637949,6.5373624369176575,0.21425986291493568,5.633961309587714
12,12,0.203940391541,0.09521484375,0.0126953125,0.813720703125,-4.14503816794,1.63358778626,-1.92366412214,0.8877750827054274,0.7289443706180986,0.7924766554530301,6.673123053267872,6.583945273485361,6.619616385398366,0.2916825855204149,5.669776310606304
13,13,0.222392320633,0.09423828125,0.020263671875,0.842041015625,-1.97709923664,0.6183206106870001,-0.259541984733,1.3700039180199386,0.7579825289716577,1.00279108459097,6.383937198546119,6.631164562417247,6.532273616868796,0.6354322055373584,5.4970851076544545
14,14,0.240843296051,0.091064453125,0.0166015625,0.8486328125,0.8320610687019999,-0.480916030534,-0.595419847328,1.1143224619716765,1.015026277986106,1.054744751580334,6.1236527615103356,6.53680414715276,6.37154359289579,0.628082377689669,5.262044533121887
15,15,0.259315490723,0.082275390625,0.01171875,0.836181640625,-2.41221374046,-0.282442748092,-1.04580152672,0.7990665585914875,1.0091606431759577,0.9251230093421696,5.6189336296868015,6.3857932515310445,6.0790494027933475,0.40703845615984846,4.8607599690407834
16,16,0.277771472931,0.096923828125,0.019775390625,0.837646484375,-6.38167938931,1.06106870229,-0.488549618321,1.3434431616899811,0.8053286310565799,1.0205744433099406,6.5985031840747865,6.09810951244045,6.298266981094185,0.6323921335007845,5.324248761039769
17,17,0.296229600906,0.09912109375,0.028564453125,0.84716796875,-1.58778625954,-0.427480916031,-0.389312977099,1.9180690161304483,0.9912995466579188,1.3620073344469308,6.669673301343786,6.3003023121731285,6.448050707841392,1.1087253624645363,5.535002726585355
18,18,0.31467962265,0.09912109375,0.025390625,0.841552734375,0.396946564885,-1.0381679389299998,0.167938931298,1.7162991599315536,1.366571197000303,1.5064623821728031,6.714524481411152,6.440945315202033,6.550376981685679,1.1795441070608277,5.639090558980862
19,19,0.333131551743,0.101806640625,0.025634765625,0.843017578125,2.53435114504,-1.32824427481,0.0687022900763,1.7291769946732674,1.5468418843970866,1.619775928507559,6.882802411413375,6.547375850208608,6.681546474690514,1.2295366934557335,5.781271541204364
20,20,0.351581573486,0.103759765625,0.000244140625,0.816650390625,-1.9465648855,0.236641221374,0.312977099237,0.016992178899514026,1.585913888283219,0.958345204529737,7.240935233236165,6.675362859039691,6.901591808718281,0.1547190378959109,6.068834888149482
21,21,0.370057582855,0.10791015625,0.021728515625,0.835205078125,-0.358778625954,-0.534351145038,0.7709923664120001,1.4779790292657704,0.952270688134628,1.162554024587085,7.359481894665333,6.8843217693593814,7.074385819481763,0.6619742705237196,6.2468590196076486
